source_column_index,source_column,question_number,question_text,condition,domain,position,included_in_score,exclusion_reason,expected_attention_value,nonempty_response_count,numeric_response_count,attention_correct_count,attention_incorrect_count,attention_missing_count,duplicate_kept_question_number
5,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q3. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",3,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,med,Reading,1.0,True,,,26,26,,,,
6,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q4. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",4,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,med,Reading,2.0,True,,,26,26,,,,
7,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q5. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",5,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,med,Reading,3.0,True,,,26,26,,,,
8,"瞑想動画視聴後の記述タスクに関する質問です。
Q6. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",6,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,med,Output,1.0,True,,,26,26,,,,
9,"瞑想動画視聴後の記述タスクに関する質問です。
Q7. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",7,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,med,Output,2.0,True,,,26,26,,,,
10,"瞑想動画視聴後の記述タスクに関する質問です。
Q8. この質問の回答は4を記入してください．",8,この質問の回答は4を記入してください．,med,Output,,False,dummy_attention_check_ignored,4.0,26,26,26.0,0.0,0.0,
11,"瞑想動画視聴後の記述タスクに関する質問です。
Q9. すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。",9,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,med,Output,3.0,True,,,26,26,,,,
12,"ショート動画視聴後に見た2分間の映画予告映像に関する質問です。
Q10. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,short,Reading,1.0,True,,,26,26,,,,
13,"ショート動画視聴後に見た2分間の映画予告映像に関する質問です。
Q11. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,short,Reading,2.0,True,,,26,26,,,,
14,"ショート動画視聴後に見た2分間映画予告映像に関する質問です。
Q12. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,short,Reading,3.0,True,,,26,26,,,,
15,"ショート動画視聴後の記述タスクに関する質問です。
Q13. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,short,Output,1.0,True,,,26,26,,,,
16,"ショート動画視聴後の記述タスクに関する質問です。
Q14. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,short,Output,2.0,True,,,26,26,,,,
17,"ショート動画視聴後の記述タスクに関する質問です。
Q15. すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。",15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,short,Output,3.0,True,,,26,26,,,,
18,"日常動画視聴後に見た2分間の映画予告映像に関する質問です。
Q16. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,control,Reading,1.0,True,,,26,26,,,,
19,"日常動画視聴後に見た2分間の映画予告映像に関する質問です。
Q17. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,control,Reading,2.0,True,,,26,26,,,,
20,"日常動画視聴後に見た2分間映画予告映像に関する質問です。
Q18. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,control,Reading,3.0,True,,,26,26,,,,
21,"日常動画視聴後に見た2分間映画予告映像に関する質問です。
Q19. この質問の回答は6を記入してください．",19,この質問の回答は6を記入してください．,control,Reading,,False,dummy_attention_check_ignored,6.0,26,26,25.0,1.0,0.0,
22,"日常動画視聴後の記述タスクに関する質問です。
Q20. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",20,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,control,Output,1.0,True,,,26,26,,,,
23,"日常動画視聴後の記述タスクに関する質問です。
Q21. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",21,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,control,Output,2.0,True,,,26,26,,,,21.0
