video_condition,category,category_label,question_id,variant_number,question_text,measure,n,mean,sd,median,minimum,maximum
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Chars,8,52.5,20.10685739457348,60.0,16.0,81.0
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Latency,8,13.03825,6.876207275817098,11.877500000000001,3.546,23.997
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Writing,8,64.903625,38.17791922765791,61.19799999999999,13.319,126.665
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Chars,11,38.45454545454545,27.61652996436604,33.0,12.0,104.0
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Latency,11,11.954272727272725,11.569088979612085,5.968,3.771,38.818
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Writing,11,57.99372727272728,36.547831489955485,35.402,24.934,130.362
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Chars,7,68.0,63.650085100754836,44.0,18.0,199.0
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Latency,7,10.761,9.594654952975988,6.155,3.263,25.704
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Writing,7,56.72899999999999,37.29153636327328,45.972,18.394,126.315
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Chars,8,113.625,81.72066970566783,78.0,32.0,219.0
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Latency,8,13.294125000000001,7.356792069480518,15.1835,2.612,25.684
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Writing,8,127.04325,91.37971624217269,114.818,23.242,302.984
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Chars,8,53.125,28.170082914833095,47.0,23.0,98.0
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Latency,8,19.923625,13.804967097156423,15.792,10.14,51.869
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Writing,8,83.64737500000001,27.630016322509526,86.57900000000001,51.667,132.954
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Chars,10,82.0,34.64101615137755,78.5,27.0,132.0
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Latency,10,15.1176,12.567759132001218,12.781,3.015,37.872
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Writing,10,104.7729,49.679724456764056,93.8845,46.999,192.166
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Chars,11,61.0,44.71688719041163,49.0,20.0,175.0
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Latency,11,15.039454545454545,14.937745997061514,10.657,4.387,57.288
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Writing,11,65.43436363636364,44.51659594190178,44.026,9.118,147.316
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Chars,7,27.0,22.08317610006918,13.0,5.0,64.0
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Latency,7,12.188428571428572,11.510690318962093,7.622,5.906,37.845
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Writing,7,44.677,24.49733473257856,39.921,17.224,87.581
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Chars,8,76.25,50.05068859238031,62.5,40.0,194.0
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Latency,8,14.347125,6.755930673701228,13.3305,6.479,24.146
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Writing,8,109.68674999999999,42.64574485472478,96.41149999999999,55.868,168.606
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Chars,9,34.22222222222222,29.435428389008447,28.0,5.0,90.0
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Latency,9,10.956111111111111,7.148289838213831,11.39,2.633,23.904
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Writing,9,40.950222222222216,44.475772783555364,24.918,3.464,142.082
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Chars,9,32.0,14.696938456699069,31.0,9.0,55.0
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Latency,9,11.172444444444444,10.928395583422928,5.222,3.349,33.486
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Writing,9,56.24711111111111,67.67938518936997,35.135,10.458,230.838
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Chars,8,34.125,22.074144539321498,32.5,5.0,62.0
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Latency,8,22.81275,23.497526488365295,18.3055,1.995,77.275
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Writing,8,45.034125,31.538774871746597,46.2655,4.483,85.93
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Chars,8,25.75,19.586803137389655,22.5,4.0,68.0
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Latency,8,5.608874999999999,2.225627580032203,5.3765,1.843,9.103
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Writing,8,30.961625,14.815659678071322,30.024,9.959,50.43
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Chars,8,37.25,24.32958222881296,34.0,6.0,78.0
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Latency,8,6.17525,1.8327713402697798,6.504,3.624,8.997
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Writing,8,60.89725,53.43967160867342,49.739,19.542,187.664
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Chars,10,35.1,17.387415628040362,37.5,11.0,62.0
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Latency,10,23.700200000000002,30.413866200943424,12.629999999999999,2.826,102.552
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Writing,10,71.90119999999999,33.324229156042676,74.0675,24.303,135.012
