participant_id,source_row,category,category_label,question_id,variant_number,display_order,question_text,answer_text,Latency,Writing,Chars,video_condition
A001,2,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像を見ることは今まで見たことがないものを仮想の経験として得ることができ、その点において私の世界を拡張すると考えらる。一方で、映像として視覚を用いて情報を受けることで、クリエイティブな創造性や、視覚以外の情報から描写をイメージする力が衰えるという点において私の世界を制限すると考える。,10.246,103.994,142,short
A001,3,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,自分の見たことのない世界について仮想体験をすることで、新しい知見が得られるという点で世界が拡張すると思う。一方で、視覚以外の情報から描写を創造する力は衰えると思う。その点において世界が制限されていると思う。,6.948,81.084,103,med
A001,4,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,様々な立場の人間の視点になって物語に参加することで、いろいろなことを考えることができ、人生が豊かになるから。,4.387,43.375,54,control
A002,5,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映画の世界に没入させ、一時的に現実世界のことを脳内から忘却させる,22.551,48.509,32,short
A002,6,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間、他者との会話の時間、画面から目を離さなければ実行できない行動の機会,11.276,133.016,36,med
A002,7,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画のストーリーを通して様々な世界や境遇、価値観、考えに触れることで視野を広げるため。,16.201,78.644,43,control
A003,8,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,手軽に非日常を味わえるものだから。,18.686,49.596,17,short
A003,9,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,"映像を観ている間は、その映像に思考が縛り付けられる。
映像を見た後は、その映像の情報が自分に追加され、その後の思考や生活に影響を及ぼす。情報が追加されたことで新たな束縛条件が増えて自分にとっての世界が制限されているとも言えるし、新たな変数が増えて世界が広がるとも言えるが、個人的には後者の要素の方が強いと思う。",21.051,346.211,155,med
A003,10,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,"時間
映画を見る前の価値観",12.427,31.239,13,control
A004,11,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間とお金,12.738,16.829,5,short
A004,12,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画を見ることで，自分では経験しえないような体験を映像を通して疑似体験し，感情を呼び起こすことができるから。,9.235,61.346,54,med
