source_row,participant_id,condition,domain,position,metric,question_number,question_text,score
2,A001,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
3,A002,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
4,A003,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,4
5,A004,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,2
6,A005,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
7,A010,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
8,A006,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
9,A007,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
10,A009,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,4
11,A008,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
12,A015,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
13,A011,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
14,A012,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
15,A013,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
16,A020,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
17,A018,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
18,A016,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
19,A019,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,2
20,A025,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
21,A024,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
22,A023,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
23,A021,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
24,A022,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
25,A029,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
26,A028,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
27,A027,short,Reading,1,Reading_Q1,10,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
2,A001,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
3,A002,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
4,A003,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
5,A004,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
6,A005,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
7,A010,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
8,A006,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
9,A007,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,4
10,A009,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
11,A008,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
12,A015,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
13,A011,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
14,A012,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
15,A013,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
16,A020,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
17,A018,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
18,A016,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,1
19,A019,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
20,A025,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
21,A024,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
22,A023,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
23,A021,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
24,A022,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
25,A029,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
